dataset,method,track,level,outer_seed,cells,macro_f1_mean,macro_f1_std,auprc_mean,auprc_std,far_mean,far_std,fault_recall_mean,fault_recall_std,early_recall_mean,early_recall_std,detection_delay_mean,detection_delay_std,worst_cell_macro_f1
TEP,SoftCLT,TRACK_A_MECHANISM_ADAPTATION,split,32002,3,0.7575980106506487,0.009778321819262715,0.8482695560912724,0.0057532347234485175,0.045919581251487034,0.008515598462133374,0.5613591687728166,0.02508117176234382,0.5187499999999999,0.012500000000000011,139.59259259259258,12.521750623739774,
TEP,SoftCLT,TRACK_A_MECHANISM_ADAPTATION,split,32003,3,0.733449341152388,0.0024435685508832432,0.8229592455843715,0.0028996464189000107,0.0504774897680764,0.03208178994899004,0.5198675496688742,0.032706533551553674,0.4895833333333333,0.019094065395649326,150.95151515151517,14.275746962295774,
TEP,SoftCLT,TRACK_A_MECHANISM_ADAPTATION,overall,ALL,9,0.7496411067690844,0.0140231690598671,0.840918345943589,0.015638045131790075,0.09069606121792927,0.07364314432759769,0.5898388415586315,0.08774869200238687,0.5222222222222223,0.03450627291334681,143.5543037209704,6.411573689005071,0.7316044397240928
TEP,TF-C,TRACK_B_METHOD_NATIVE_REPRESENTATION,split,32001,3,0.8237540906961267,0.00044557074165262376,0.8992390499060378,0.004429377906611818,0.07585103952478867,0.003381002647235261,0.7144060657118786,0.004457879209881367,0.64375,0.01874999999999999,101.30526315789473,11.648269758451294,
TEP,TF-C,TRACK_B_METHOD_NATIVE_REPRESENTATION,split,32002,3,0.7978426382747325,0.0041001007119966255,0.8894629283407154,0.005710695093412678,0.08018082322150845,0.02761983699439724,0.6700365065992698,0.022326514136816585,0.6437499999999999,0.022534695471649914,106.63247863247864,3.20821629011983,
TEP,TF-C,TRACK_B_METHOD_NATIVE_REPRESENTATION,split,32003,3,0.7876702275735905,0.010225619701351194,0.8787897945580075,0.005689145309437811,0.15870850386539334,0.05638330808036836,0.7312362030905076,0.04065853485900031,0.7083333333333334,0.07938566201357358,95.53333333333335,13.82365123016829,
TEP,TF-C,TRACK_B_METHOD_NATIVE_REPRESENTATION,overall,ALL,9,0.8030889855148166,0.01860522544835551,0.8891639242682535,0.010227906122405855,0.10491345553723015,0.04663815149839405,0.7052262584672188,0.031615697974925985,0.6652777777777779,0.03728720488516336,101.15702504123557,5.551057331473685,0.775884142362783
TEP,TS2Vec,TRACK_B_METHOD_NATIVE_REPRESENTATION,split,32001,3,0.7805301087802179,0.010619881820643193,0.8716318126929495,0.0028599878531211033,0.16312542837559973,0.05588855416558242,0.721145745577085,0.03950589414555471,0.5395833333333334,0.07189764136140585,128.62658569500675,7.571073156271702,
TEP,TS2Vec,TRACK_B_METHOD_NATIVE_REPRESENTATION,split,32002,3,0.7701717267933873,0.007152214486392637,0.8616955284757132,0.003750504135592048,0.15227218653342847,0.028926275519481202,0.6891322662173547,0.030128988613728175,0.6375,0.04375000000000001,112.98245614035089,7.256313199950163,
TEP,TS2Vec,TRACK_B_METHOD_NATIVE_REPRESENTATION,split,32003,3,0.758212275484945,0.0066363761481007975,0.8503561312641607,0.011003138480189755,0.14256480218281037,0.010322473363179782,0.6542494481236204,0.023781966254321434,0.5541666666666667,0.0252590742770461,124.33333333333333,6.159826154296122,
TEP,TS2Vec,TRACK_B_METHOD_NATIVE_REPRESENTATION,overall,ALL,9,0.7696380370195167,0.011168484200192464,0.8612278241442745,0.010645549096738175,0.15265413903061284,0.01028563333696487,0.6881758199726867,0.033458403209206025,0.5770833333333334,0.0528280097212748,121.98079172289698,8.083040047057793,0.7535368150491372
TEP,UNIFORM_DIFFUSION,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32001,3,0.9319658228116037,0.026814697183219997,0.9765034227418156,0.014425830252435252,0.03198537811286269,0.017478844369143397,0.890480202190396,0.03774183114507519,0.8250000000000001,0.06614378277661476,89.45964912280702,9.796381735425921,
TEP,UNIFORM_DIFFUSION,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32002,3,0.9230227569362013,0.014405557352459745,0.9745786906040879,0.01038216165625955,0.018320247442303116,0.005357283011752415,0.8570626228587476,0.024882299601267643,0.80625,0.016535945694153675,93.35897435897436,8.194865376590025,
TEP,UNIFORM_DIFFUSION,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32003,3,0.9752076196043138,0.006050194122787024,0.9971692650062511,0.0014763897598215638,0.021145975443383355,0.008946028000412005,0.9713024282560707,0.0037328226430653143,0.9854166666666666,0.007216878364870361,73.13333333333334,0.2309401076758536,
TEP,UNIFORM_DIFFUSION,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,overall,ALL,9,0.9433987331173729,0.027907858238626338,0.9827504594507182,0.012524081351009396,0.02381720033284972,0.007213565752694396,0.906281751101738,0.05873627495255992,0.8722222222222222,0.09847653179725006,85.31731893837157,10.730252245040052,0.9023595586739215
