dataset,method,level,outer_seed,cells,macro_f1_mean,macro_f1_std,auprc_mean,auprc_std,far_mean,far_std,fault_recall_mean,fault_recall_std,early_recall_mean,early_recall_std,detection_delay_mean,detection_delay_std,worst_seed_macro_f1
TEP,JITTER_SCALING,overall,ALL,15,0.9491543484596127,0.02389904035481789,0.9864729658267609,0.009275412416578968,0.019107270784794794,0.0067103887671165355,0.9130766341027057,0.058840761635696834,0.88375,0.09354978621033831,84.18754835807466,10.262778731727463,0.9070208728652751
TEP,UNIFORM_DIFFUSION,split,32001,5,0.9396034927865431,0.02205114221360873,0.9804986213413777,0.011587078989296857,0.023989033584647018,0.016598877365746858,0.8973883740522325,0.030383503539747166,0.8412499999999999,0.05922678870241067,88.4680971659919,8.065913175261056,
TEP,UNIFORM_DIFFUSION,split,32002,5,0.9258215755548852,0.011988253445146148,0.9784254071330147,0.009451154122395002,0.015274803711634546,0.006173232922323954,0.8594776748104465,0.022364099550762167,0.8099999999999999,0.020058508169851528,93.36564102564103,6.350839399499725,
TEP,UNIFORM_DIFFUSION,split,32003,5,0.9751492650046945,0.004287213032916636,0.9971719678492779,0.001044448358770317,0.019918144611186902,0.006549852051382157,0.9697019867549669,0.0034431513813055342,0.9875,0.008838834764831872,73.16,0.4560701700396567,
TEP,UNIFORM_DIFFUSION,overall,ALL,15,0.9468581111153741,0.025451470526021976,0.98536533210789,0.010277258386155372,0.01972732730248949,0.00436024758516069,0.9088560118725485,0.055999819408585554,0.8795833333333333,0.09475571662613999,84.99791273054431,10.540332884984421,0.9023595586739215
TEP,FRERA,split,32001,5,0.9529926094261534,0.011576416203643292,0.989159148822079,0.0041686067513929,0.01151473612063057,0.004263833040437502,0.9113732097725358,0.023509011498444064,0.8612500000000001,0.051425006076810546,83.15001349527665,3.742929006108757,
TEP,FRERA,split,32002,5,0.9310461579962628,0.012530361453886679,0.9843846882430919,0.009805014916127978,0.0074232690935046395,0.00670721482417331,0.8614995787700085,0.019198108523841184,0.8037500000000002,0.038679371116914496,99.26372469635626,7.289548303476794,
TEP,FRERA,split,32003,5,0.9646595957430589,0.0078344940584687,0.9949237277533018,0.0018839438179114312,0.030695770804911322,0.011854124963835448,0.9597682119205297,0.009593367288621295,0.95875,0.016886570107632854,75.16,1.152388823271033,
TEP,FRERA,overall,ALL,15,0.9495661210551584,0.01706667560501629,0.9894891882728242,0.00527726567255504,0.016544592006348845,0.012424850970944392,0.9108803334876914,0.04913617059348493,0.8745833333333334,0.07835549331944326,85.8579127305443,12.277903923744724,0.909875366568915
TEP,FINAL_QDIFFCL,split,32001,5,0.9430691420592643,0.02397275799778064,0.9820282937899851,0.012439639283477336,0.02193283070596299,0.015905142406953107,0.9024431339511374,0.03523457321381535,0.85125,0.06751735887903199,86.30758434547909,10.103810158131159,
TEP,FINAL_QDIFFCL,split,32002,5,0.9259185415465272,0.012016765189838782,0.97849747844173,0.009512230392653859,0.015988579586009993,0.006173232922323955,0.8604886267902275,0.022341873564316567,0.8099999999999999,0.020058508169851528,93.36564102564103,6.350839399499725,
TEP,FINAL_QDIFFCL,split,32003,5,0.9759852389584758,0.005560162976085062,0.997122284682588,0.0011396018371767009,0.020600272851296043,0.005422812254939097,0.9723509933774835,0.008165626023614354,0.99,0.00947859430506445,72.92,0.334664010613635,
TEP,FINAL_QDIFFCL,overall,ALL,15,0.9483243075214224,0.02544368527672238,0.9858826856381011,0.009892578241615933,0.01950722771442301,0.003119229247377781,0.9117609180396161,0.05651029189329182,0.88375,0.09429839606271151,84.19774179037337,10.384827198506727,0.901168684507708
TEP,DCBR,split,32001,5,0.9452589858338267,0.0234102100473514,0.9826364124512125,0.012571781976226375,0.020562028786840304,0.01832085867666026,0.9054759898904802,0.029853291950894773,0.8574999999999999,0.05437859183539054,86.36923076923077,11.068644668885556,
TEP,DCBR,split,32002,5,0.9255163593814082,0.012146129135676476,0.9784513259304317,0.009235423958443527,0.01284796573875803,0.006160841007006448,0.8561078348778433,0.024441505017004,0.8025,0.022360679774997918,93.40558704453443,6.8342023232564575,
TEP,DCBR,split,32003,5,0.9751409173497969,0.0046057730339242675,0.9970748417604636,0.0010852333163271048,0.01869031377899045,0.005678487145502705,0.9682119205298013,0.006638019932691896,0.9862500000000001,0.010269797953221886,73.16,0.4560701700396567,
TEP,DCBR,overall,ALL,15,0.948638754188344,0.024984321363349857,0.9860541933807027,0.009770862568338146,0.017366769434862928,0.004023744450210657,0.9099319150993749,0.05618472174057495,0.8820833333333334,0.09430944190977562,84.31160593792173,10.278439261593647,0.9036541792384734
