run_id,dataset,outer_seed,model_seed,method,group_id,fault_id,windows,macro_f1,auprc,far,fault_recall,early_recall,detection_delay
3w-outer31001-seed44-dcbr,3W,31001,44,DCBR,WELL-00006,,63214,0.3070995604564238,0.0,0.5567912171354447,nan,,
3w-outer31001-seed44-dcbr,3W,31001,44,DCBR,WELL-00008,,31509,1.0,0.0,0.0,nan,,
3w-outer31001-seed44-dcbr,3W,31001,44,DCBR,WELL-00011,,3529,0.33297548895562123,0.9896399844655356,0.0,0.8537822878228782,0.8194760820045558,793.5384615384615
3w-outer31001-seed44-dcbr,3W,31001,44,DCBR,WELL-00013,,319,0.8467451357194331,0.9977307758883605,0.0,0.7658536585365854,0.7362637362637363,1563.0
3w-outer31001-seed44-dcbr,3W,31001,44,DCBR,WELL-00016,,2007,0.008662900188323917,0.854242673048725,0.9868345735546652,1.0,1.0,6.0
3w-outer31001-seed44-dcbr,3W,31001,44,DCBR,WELL-00019,,34543,0.4365449279934326,0.8340058277958221,0.6839189747829681,0.9849429793300071,0.9847392963119966,19.0
3w-outer31001-seed44-dcbr,3W,31001,44,DCBR,WELL-00020,,120,0.0,0.915079365079365,1.0,1.0,1.0,21.0
3w-outer31001-seed44-dcbr,3W,31001,44,DCBR,WELL-00029,,4488,0.9997676083172817,0.9999042040392947,0.0,0.9996296296296296,0.9996113486202876,59.0
3w-outer31001-seed44-final_qdiffcl,3W,31001,44,FINAL_QDIFFCL,WELL-00006,,63214,0.3070995604564238,0.0,0.5567912171354447,nan,,
3w-outer31001-seed44-final_qdiffcl,3W,31001,44,FINAL_QDIFFCL,WELL-00008,,31509,1.0,0.0,0.0,nan,,
3w-outer31001-seed44-final_qdiffcl,3W,31001,44,FINAL_QDIFFCL,WELL-00011,,3529,0.29836676531842593,0.989356346311168,0.0,0.852859778597786,0.8183371298405467,798.4615384615385
3w-outer31001-seed44-final_qdiffcl,3W,31001,44,FINAL_QDIFFCL,WELL-00013,,319,0.8467451357194331,0.9977868886750617,0.0,0.7658536585365854,0.7362637362637363,1563.0
3w-outer31001-seed44-final_qdiffcl,3W,31001,44,FINAL_QDIFFCL,WELL-00016,,2007,0.0,0.8277978938943348,1.0,1.0,1.0,6.0
3w-outer31001-seed44-final_qdiffcl,3W,31001,44,FINAL_QDIFFCL,WELL-00019,,34543,0.4343186321512052,0.8380227066006659,0.6866473749483257,0.9842747683535281,0.9833733691300457,19.0
3w-outer31001-seed44-final_qdiffcl,3W,31001,44,FINAL_QDIFFCL,WELL-00020,,120,0.0,0.8734126984126984,1.0,1.0,1.0,21.0
3w-outer31001-seed44-final_qdiffcl,3W,31001,44,FINAL_QDIFFCL,WELL-00029,,4488,0.9997676083172817,0.999906178302196,0.0,0.9996296296296296,0.9996113486202876,59.0
3w-outer31001-seed44-frera,3W,31001,44,FRERA,WELL-00006,,63214,1.0,0.0,0.0,nan,,
3w-outer31001-seed44-frera,3W,31001,44,FRERA,WELL-00008,,31509,1.0,0.0,0.0,nan,,
3w-outer31001-seed44-frera,3W,31001,44,FRERA,WELL-00011,,3529,0.31009630493058765,0.9894465750942776,0.0,0.8371771217712177,0.7989749430523918,882.1538461538462
