dataset,method,track,level,outer_seed,cells,macro_f1_mean,macro_f1_std,auprc_mean,auprc_std,far_mean,far_std,fault_recall_mean,fault_recall_std,early_recall_mean,early_recall_std,detection_delay_mean,detection_delay_std,worst_cell_macro_f1,worst_outer_seed,worst_model_seed,worst_run_id
3W,TS2Vec,TRACK_B_METHOD_NATIVE_REPRESENTATION,split,31002,5,0.17486162474816067,0.07459994926631075,0.27826570556198293,0.23019463225068654,0.8834020540458644,0.056177704115236204,0.8224779582366588,0.08333986326054249,0.8163017781889197,0.0899466215454211,2913.715151515152,2333.2363118544,,,,
3W,TS2Vec,TRACK_B_METHOD_NATIVE_REPRESENTATION,split,31003,5,0.26678821102724937,0.04000156880926765,0.7294071407479428,0.04984594221220296,0.6499655523112758,0.25197392993836476,0.7690712564543889,0.1802756236061391,0.7692414950983879,0.18840906564951765,298.4885714285714,179.323962675291,,,,
3W,TS2Vec,TRACK_B_METHOD_NATIVE_REPRESENTATION,overall,ALL,15,0.23972691432806295,0.056431203465153894,0.5020121817424625,0.22559284608693855,0.6628511091780594,0.21439877591938739,0.7682678714101335,0.05461621109407858,0.769457040007444,0.04673733850004456,1265.841875901876,1434.2883565162545,0.07711869006239165,31002,42,3w-outer31002-seed42-ts2vec
3W,UNIFORM_DIFFUSION,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31001,5,0.3721486515482952,0.14252967178960496,0.8228511658497766,0.04091647718017038,0.37135838201925997,0.18837824498053451,0.913585489617447,0.0647302085693141,0.9186030375452934,0.058851660360692434,440.2390476190476,304.0940629106489,,,,
3W,UNIFORM_DIFFUSION,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31002,5,0.2413198041140237,0.11102606612392012,0.6409377365925651,0.023280158176145635,0.8340227048905339,0.28237363302418456,0.8546078886310905,0.11890169811908395,0.8403330249768732,0.1303079521789402,2987.3844444444444,2721.3741365052156,,,,
3W,UNIFORM_DIFFUSION,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,31003,5,0.31620328165531975,0.04069867816295525,0.8676439931594461,0.012206106663310972,0.7770086283258423,0.10989674234863667,0.9437025817555937,0.0263742107292269,0.9456853008551143,0.02428321903512559,105.42197802197802,40.569268784319334,,,,
3W,UNIFORM_DIFFUSION,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,overall,ALL,15,0.3098905791058795,0.06564247474275518,0.7771442985339293,0.12006569027625445,0.660796571745212,0.2522766348386396,0.9039653200013772,0.045319717930706695,0.9015404544590936,0.05470945361051739,1177.6818233618233,1576.164109503948,0.12849488629077457,31002,44,3w-outer31002-seed44-uniform_diffusion
TEP,AutoTCL,TRACK_A_MECHANISM_ADAPTATION,split,32001,5,0.9257341363021595,0.024755537089892317,0.9730504073387131,0.013643159859777463,0.013433858807402329,0.013198195917105865,0.8554338668913226,0.04356259479760235,0.7875,0.07029513674501246,90.52053105737318,13.950995637312399,,,,
TEP,AutoTCL,TRACK_A_MECHANISM_ADAPTATION,split,32002,5,0.9169715684677678,0.009119229615410096,0.9721884268981051,0.009419099523703952,0.006995003568879371,0.0034748498057496314,0.8316764953664701,0.01607752715479726,0.77,0.017343046156889502,97.30004498425549,4.704297404679479,,,,
TEP,AutoTCL,TRACK_A_MECHANISM_ADAPTATION,split,32003,5,0.9642749431426848,0.005775385783837003,0.994520528475833,0.0016434350816956268,0.021828103683492497,0.0038887292806928306,0.9483443708609272,0.012912315235537639,0.9649999999999999,0.01956559480312315,73.64,1.219836054558151,,,,
