row_type,dataset,comparison,metric,seed,delta,directional_benefit,mean_delta,std_delta,positive_seed_count,nonworse_seed_count,loso_mean_min,loso_mean_max,loso_mean_range
seed,3W,FINAL_QDIFFCL-CURRENT_R1,class_9_f1,44,0.0006696652029703499,0.0006696652029703499,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,class_9_f1,45,-0.003090434081542942,-0.003090434081542942,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,class_9_f1,46,0.16738858843831061,0.16738858843831061,,,,,,,
summary,3W,FINAL_QDIFFCL-CURRENT_R1,class_9_f1,,,,0.030648008006303032,0.07658025201076696,2,2,-0.0035371371016988647,0.04110983010119533,0.0446469672028942
seed,TEP,FINAL_QDIFFCL-UNIFORM,macro_f1,7,0.0018456168376519422,0.0018456168376519422,,,,,,,
seed,TEP,FINAL_QDIFFCL-UNIFORM,macro_f1,42,0.002636226011528242,0.002636226011528242,,,,,,,
seed,TEP,FINAL_QDIFFCL-UNIFORM,macro_f1,43,-0.00020400101056972098,-0.00020400101056972098,,,,,,,
seed,TEP,FINAL_QDIFFCL-UNIFORM,macro_f1,44,2.1771498817879653e-05,2.1771498817879653e-05,,,,,,,
seed,TEP,FINAL_QDIFFCL-UNIFORM,macro_f1,2026,-2.728724960199269e-05,-2.728724960199269e-05,,,,,,,
summary,TEP,FINAL_QDIFFCL-UNIFORM,macro_f1,,,,0.00085446521756527,0.0012988716314173644,3,3,0.00040902501907452704,0.0011190817745990178,0.0007100567555244908
seed,TEP,FINAL_QDIFFCL-UNIFORM,auprc,7,7.399221119097632e-05,7.399221119097632e-05,,,,,,,
seed,TEP,FINAL_QDIFFCL-UNIFORM,auprc,42,0.0007432543394347846,0.0007432543394347846,,,,,,,
seed,TEP,FINAL_QDIFFCL-UNIFORM,auprc,43,-0.00010334502793962752,-0.00010334502793962752,,,,,,,
seed,TEP,FINAL_QDIFFCL-UNIFORM,auprc,44,-9.444008534975623e-05,-9.444008534975623e-05,,,,,,,
seed,TEP,FINAL_QDIFFCL-UNIFORM,auprc,2026,-1.8362872283517184e-05,-1.8362872283517184e-05,,,,,,,
summary,TEP,FINAL_QDIFFCL-UNIFORM,auprc,,,,0.000120219713010572,0.0003555187347465176,2,2,-3.5538943595481154e-05,0.00017611089824812187,0.00021164984184360303
seed,TEP,FINAL_QDIFFCL-UNIFORM,fault_recall,7,-0.004255319148936176,-0.004255319148936176,,,,,,,
seed,TEP,FINAL_QDIFFCL-UNIFORM,fault_recall,42,0.004255319148936176,0.004255319148936176,,,,,,,
seed,TEP,FINAL_QDIFFCL-UNIFORM,fault_recall,43,0.0005319148936170359,0.0005319148936170359,,,,,,,
seed,TEP,FINAL_QDIFFCL-UNIFORM,fault_recall,44,0.0005319148936170359,0.0005319148936170359,,,,,,,
seed,TEP,FINAL_QDIFFCL-UNIFORM,fault_recall,2026,-0.0005319148936170359,-0.0005319148936170359,,,,,,,
summary,TEP,FINAL_QDIFFCL-UNIFORM,fault_recall,,,,0.00010638297872340718,0.003041697543722516,3,3,-0.0009308510638297851,0.001196808510638303,0.002127659574468088
seed,TEP,FINAL_QDIFFCL-UNIFORM,far,7,-0.006640624999999997,0.006640624999999997,,,,,,,
seed,TEP,FINAL_QDIFFCL-UNIFORM,far,42,-0.0011718749999999958,0.0011718749999999958,,,,,,,
seed,TEP,FINAL_QDIFFCL-UNIFORM,far,43,0.0007812500000000007,-0.0007812500000000007,,,,,,,
seed,TEP,FINAL_QDIFFCL-UNIFORM,far,44,0.0003906250000000021,-0.0003906250000000021,,,,,,,
seed,TEP,FINAL_QDIFFCL-UNIFORM,far,2026,-0.0003906250000000021,0.0003906250000000021,,,,,,,
summary,TEP,FINAL_QDIFFCL-UNIFORM,far,,,,-0.0014062499999999984,0.0030207210826845624,3,3,-0.0019531249999999983,-9.765624999999879e-05,0.0018554687499999995
seed,TEP,FINAL_QDIFFCL-UNIFORM,early_recall,7,0.0,0.0,,,,,,,
seed,TEP,FINAL_QDIFFCL-UNIFORM,early_recall,42,0.0,0.0,,,,,,,
seed,TEP,FINAL_QDIFFCL-UNIFORM,early_recall,43,0.0,0.0,,,,,,,
seed,TEP,FINAL_QDIFFCL-UNIFORM,early_recall,44,0.0,0.0,,,,,,,
seed,TEP,FINAL_QDIFFCL-UNIFORM,early_recall,2026,0.0,0.0,,,,,,,
summary,TEP,FINAL_QDIFFCL-UNIFORM,early_recall,,,,0.0,0.0,0,5,0.0,0.0,0.0
seed,TEP,FINAL_QDIFFCL-UNIFORM,mean_detection_delay_samples,7,0.0,-0.0,,,,,,,
seed,TEP,FINAL_QDIFFCL-UNIFORM,mean_detection_delay_samples,42,0.0,-0.0,,,,,,,
seed,TEP,FINAL_QDIFFCL-UNIFORM,mean_detection_delay_samples,43,0.0,-0.0,,,,,,,
seed,TEP,FINAL_QDIFFCL-UNIFORM,mean_detection_delay_samples,44,0.0,-0.0,,,,,,,
seed,TEP,FINAL_QDIFFCL-UNIFORM,mean_detection_delay_samples,2026,0.0,-0.0,,,,,,,
summary,TEP,FINAL_QDIFFCL-UNIFORM,mean_detection_delay_samples,,,,0.0,0.0,0,5,0.0,0.0,0.0
seed,TEP,FINAL_QDIFFCL-UNIFORM,detected_rate,7,0.0,0.0,,,,,,,
seed,TEP,FINAL_QDIFFCL-UNIFORM,detected_rate,42,0.0,0.0,,,,,,,
seed,TEP,FINAL_QDIFFCL-UNIFORM,detected_rate,43,0.0,0.0,,,,,,,
seed,TEP,FINAL_QDIFFCL-UNIFORM,detected_rate,44,0.0,0.0,,,,,,,
seed,TEP,FINAL_QDIFFCL-UNIFORM,detected_rate,2026,0.0,0.0,,,,,,,
summary,TEP,FINAL_QDIFFCL-UNIFORM,detected_rate,,,,0.0,0.0,0,5,0.0,0.0,0.0
seed,TEP,FINAL_QDIFFCL-UNIFORM,missed_runs,7,0.0,-0.0,,,,,,,
seed,TEP,FINAL_QDIFFCL-UNIFORM,missed_runs,42,0.0,-0.0,,,,,,,
seed,TEP,FINAL_QDIFFCL-UNIFORM,missed_runs,43,0.0,-0.0,,,,,,,
seed,TEP,FINAL_QDIFFCL-UNIFORM,missed_runs,44,0.0,-0.0,,,,,,,
seed,TEP,FINAL_QDIFFCL-UNIFORM,missed_runs,2026,0.0,-0.0,,,,,,,
summary,TEP,FINAL_QDIFFCL-UNIFORM,missed_runs,,,,0.0,0.0,0,5,0.0,0.0,0.0
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,macro_f1,7,-0.0006763977077691719,-0.0006763977077691719,,,,,,,
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,macro_f1,42,-0.0005119316895652037,-0.0005119316895652037,,,,,,,
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,macro_f1,43,-0.00020400101056972098,-0.00020400101056972098,,,,,,,
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,macro_f1,44,-0.000998773451935997,-0.000998773451935997,,,,,,,
seed,TEP,FINAL_QDIFFCL-CURRENT_R1,macro_f1,2026,0.0,0.0,,,,,,,
