dataset,channel,frequency_bin,unsafe_rate,safe_prob,valid_support
3W,14,10,0.90909094,0.09090909,11
3W,14,11,0.90909094,0.09090909,11
3W,14,12,0.90909094,0.09090909,11
3W,14,13,0.8181818,0.18181819,11
3W,14,14,1.0,0.0,11
3W,14,15,0.8181818,0.18181819,11
3W,14,16,0.90909094,0.09090909,11
3W,14,17,1.0,0.0,11
3W,14,18,0.90909094,0.09090909,11
3W,14,19,0.8181818,0.18181819,11
3W,14,20,0.90909094,0.09090909,11
3W,14,21,1.0,0.0,11
3W,14,22,1.0,0.0,11
3W,14,23,1.0,0.0,11
3W,14,24,1.0,0.0,11
3W,14,25,1.0,0.0,11
3W,14,26,0.90909094,0.09090909,11
3W,14,27,0.90909094,0.09090909,11
3W,14,28,1.0,0.0,11
3W,14,29,0.8181818,0.18181819,11
3W,14,30,0.90909094,0.09090909,11
3W,14,31,0.8181818,0.18181819,11
3W,14,32,0.90909094,0.09090909,11
3W,15,0,0.36363637,0.6363636,11
3W,15,1,0.45454547,0.54545456,11
3W,15,2,0.54545456,0.45454547,11
3W,15,3,0.45454547,0.54545456,11
3W,15,4,0.45454547,0.54545456,11
3W,15,5,0.45454547,0.54545456,11
3W,15,6,0.36363637,0.6363636,11
3W,15,7,0.45454547,0.54545456,11
3W,15,8,0.45454547,0.54545456,11
3W,15,9,0.45454547,0.54545456,11
3W,15,10,0.45454547,0.54545456,11
3W,15,11,0.45454547,0.54545456,11
3W,15,12,0.45454547,0.54545456,11
3W,15,13,0.45454547,0.54545456,11
3W,15,14,0.45454547,0.54545456,11
3W,15,15,0.45454547,0.54545456,11
3W,15,16,0.45454547,0.54545456,11
3W,15,17,0.45454547,0.54545456,11
3W,15,18,0.45454547,0.54545456,11
3W,15,19,0.45454547,0.54545456,11
3W,15,20,0.45454547,0.54545456,11
3W,15,21,0.36363637,0.6363636,11
3W,15,22,0.36363637,0.6363636,11
3W,15,23,0.45454547,0.54545456,11
3W,15,24,0.45454547,0.54545456,11
3W,15,25,0.45454547,0.54545456,11
3W,15,26,0.45454547,0.54545456,11
3W,15,27,0.36363637,0.6363636,11
3W,15,28,0.45454547,0.54545456,11
3W,15,29,0.45454547,0.54545456,11
3W,15,30,0.45454547,0.54545456,11
3W,15,31,0.36363637,0.6363636,11
3W,15,32,0.36363637,0.6363636,11
3W,16,0,0.6363636,0.36363637,11
3W,16,1,0.18181819,0.8181818,11
3W,16,2,0.27272728,0.72727275,11
3W,16,3,0.27272728,0.72727275,11
3W,16,4,0.18181819,0.8181818,11
3W,16,5,0.18181819,0.8181818,11
3W,16,6,0.18181819,0.8181818,11
3W,16,7,0.18181819,0.8181818,11
3W,16,8,0.18181819,0.8181818,11
3W,16,9,0.18181819,0.8181818,11
3W,16,10,0.18181819,0.8181818,11
3W,16,11,0.18181819,0.8181818,11
3W,16,12,0.18181819,0.8181818,11
3W,16,13,0.18181819,0.8181818,11
3W,16,14,0.18181819,0.8181818,11
3W,16,15,0.18181819,0.8181818,11
3W,16,16,0.18181819,0.8181818,11
3W,16,17,0.18181819,0.8181818,11
3W,16,18,0.18181819,0.8181818,11
3W,16,19,0.18181819,0.8181818,11
3W,16,20,0.18181819,0.8181818,11
3W,16,21,0.18181819,0.8181818,11
3W,16,22,0.18181819,0.8181818,11
3W,16,23,0.18181819,0.8181818,11
3W,16,24,0.18181819,0.8181818,11
3W,16,25,0.18181819,0.8181818,11
3W,16,26,0.18181819,0.8181818,11
3W,16,27,0.18181819,0.8181818,11
3W,16,28,0.18181819,0.8181818,11
3W,16,29,0.18181819,0.8181818,11
3W,16,30,0.18181819,0.8181818,11
3W,16,31,0.18181819,0.8181818,11
3W,16,32,0.18181819,0.8181818,11
3W,17,0,0.0,1.0,11
3W,17,1,0.72727275,0.27272728,11
3W,17,2,0.90909094,0.09090909,11
3W,17,3,1.0,0.0,11
3W,17,4,0.90909094,0.09090909,11
3W,17,5,0.90909094,0.09090909,11
3W,17,6,0.90909094,0.09090909,11
3W,17,7,0.72727275,0.27272728,11
3W,17,8,0.8181818,0.18181819,11
3W,17,9,0.90909094,0.09090909,11
3W,17,10,0.90909094,0.09090909,11
3W,17,11,0.90909094,0.09090909,11
3W,17,12,1.0,0.0,11
3W,17,13,0.90909094,0.09090909,11
3W,17,14,0.72727275,0.27272728,11
3W,17,15,0.90909094,0.09090909,11
3W,17,16,0.90909094,0.09090909,11
3W,17,17,0.90909094,0.09090909,11
3W,17,18,0.8181818,0.18181819,11
3W,17,19,0.8181818,0.18181819,11
3W,17,20,0.90909094,0.09090909,11
3W,17,21,1.0,0.0,11
3W,17,22,0.8181818,0.18181819,11
3W,17,23,0.72727275,0.27272728,11
3W,17,24,0.90909094,0.09090909,11
3W,17,25,0.8181818,0.18181819,11
3W,17,26,0.8181818,0.18181819,11
3W,17,27,0.6363636,0.36363637,11
3W,17,28,0.6363636,0.36363637,11
3W,17,29,0.90909094,0.09090909,11
3W,17,30,0.8181818,0.18181819,11
3W,17,31,0.72727275,0.27272728,11
3W,17,32,0.90909094,0.09090909,11
