dataset,channel,frequency_bin,domain_score,domain_mask,fault_mask,quadrant
3W,7,25,0.0,0.22206896543502808,0.6755822896957397,fault_high_domain_low
3W,7,26,0.0,0.22206896543502808,0.6915600299835205,fault_high_domain_low
3W,7,27,0.0,0.22206896543502808,0.6789002418518066,fault_high_domain_low
3W,7,28,0.0,0.22206896543502808,0.6705876588821411,fault_high_domain_low
3W,7,29,0.0,0.22206896543502808,0.6122002005577087,fault_high_domain_low
3W,7,30,0.0,0.22206896543502808,0.6616306900978088,fault_high_domain_low
3W,7,31,0.0,0.22206896543502808,0.668422281742096,fault_high_domain_low
3W,7,32,0.0,0.22206896543502808,0.6285524368286133,fault_high_domain_low
3W,8,0,0.0,0.22206896543502808,0.9882721304893494,fault_high_domain_low
3W,8,1,0.0,0.22206896543502808,0.5156601667404175,fault_high_domain_low
3W,8,2,0.0,0.22206896543502808,0.6474649906158447,fault_high_domain_low
3W,8,3,0.0,0.22206896543502808,0.5195372700691223,fault_high_domain_low
3W,8,4,0.0,0.22206896543502808,0.5077341794967651,fault_high_domain_low
3W,8,5,0.0,0.22206896543502808,0.5120586156845093,fault_high_domain_low
3W,8,6,0.0,0.22206896543502808,0.6969931721687317,fault_high_domain_low
3W,8,7,0.0,0.22206896543502808,0.5156662464141846,fault_high_domain_low
3W,8,8,0.0,0.22206896543502808,0.5206068754196167,fault_high_domain_low
3W,8,9,0.0,0.22206896543502808,0.5823649168014526,fault_high_domain_low
3W,8,10,0.0,0.22206896543502808,0.5141211152076721,fault_high_domain_low
3W,8,11,0.0,0.22206896543502808,0.60127854347229,fault_high_domain_low
3W,8,12,0.0,0.22206896543502808,0.5321758389472961,fault_high_domain_low
3W,8,13,0.0,0.22206896543502808,0.5158414840698242,fault_high_domain_low
3W,8,14,0.0,0.22206896543502808,0.49673575162887573,fault_low_domain_low
3W,8,15,0.0,0.22206896543502808,0.4945606291294098,fault_low_domain_low
3W,8,16,0.0,0.22206896543502808,0.5109665393829346,fault_high_domain_low
3W,8,17,0.0,0.22206896543502808,0.524752140045166,fault_high_domain_low
3W,8,18,0.0,0.22206896543502808,0.6154362559318542,fault_high_domain_low
3W,8,19,0.0,0.22206896543502808,0.5844590663909912,fault_high_domain_low
3W,8,20,0.0,0.22206896543502808,0.5418652892112732,fault_high_domain_low
3W,8,21,0.0,0.22206896543502808,0.6328572630882263,fault_high_domain_low
3W,8,22,0.0,0.22206896543502808,0.5905264019966125,fault_high_domain_low
3W,8,23,0.0,0.22206896543502808,0.5081866383552551,fault_high_domain_low
3W,8,24,0.0,0.22206896543502808,0.5532864928245544,fault_high_domain_low
3W,8,25,0.0,0.22206896543502808,0.5037388205528259,fault_high_domain_low
3W,8,26,0.0,0.22206896543502808,0.6940104365348816,fault_high_domain_low
3W,8,27,0.0,0.22206896543502808,0.7133890986442566,fault_high_domain_low
3W,8,28,0.0,0.22206896543502808,0.5577391982078552,fault_high_domain_low
3W,8,29,0.0,0.22206896543502808,0.5031176805496216,fault_high_domain_low
3W,8,30,0.0,0.22206896543502808,0.49237391352653503,fault_low_domain_low
3W,8,31,0.0,0.22206896543502808,0.5622138381004333,fault_high_domain_low
3W,8,32,0.0,0.22206896543502808,0.5109665393829346,fault_high_domain_low
3W,9,0,1.0,0.9972413778305054,0.5264484882354736,fault_high_domain_high
3W,9,1,0.0,0.22206896543502808,0.4186044931411743,fault_low_domain_low
3W,9,2,0.0,0.22206896543502808,0.40740692615509033,fault_low_domain_low
