dataset,split,group_type,group,metric,count,mean,std,min,p05,p25,median,p75,p95,max
TEP,train,unit,training:fault_02:0001,critical_energy_ratio,26,0.4927609471174387,0.02646145382864597,0.46880966424942017,0.46907270699739456,0.4729624167084694,0.47884614765644073,0.5077897310256958,0.5444030165672302,0.5462409853935242
TEP,train,unit,training:fault_02:0001,safe_capacity,26,0.5072390551750476,0.02646145079571891,0.45375901460647583,0.45559701323509216,0.4922102689743042,0.5211538374423981,0.5270376056432724,0.530927300453186,0.5311903357505798
TEP,train,unit,training:fault_02:0001,rho,26,0.5072390551750476,0.02646145079571891,0.45375901460647583,0.45559701323509216,0.4922102689743042,0.5211538374423981,0.5270376056432724,0.530927300453186,0.5311903357505798
TEP,train,unit,training:fault_02:0003,critical_energy_ratio,26,0.4926145730110315,0.025898527765102264,0.46891164779663086,0.4692537859082222,0.47198159247636795,0.48077552020549774,0.5058068633079529,0.5439818799495697,0.5464629530906677
TEP,train,unit,training:fault_02:0003,safe_capacity,26,0.507385423550239,0.025898528875513357,0.4535370469093323,0.4560181275010109,0.49419311434030533,0.5192244946956635,0.5280184298753738,0.530746191740036,0.5310883522033691
TEP,train,unit,training:fault_02:0003,rho,26,0.507385423550239,0.025898528875513357,0.4535370469093323,0.4560181275010109,0.49419311434030533,0.5192244946956635,0.5280184298753738,0.530746191740036,0.5310883522033691
TEP,train,unit,training:fault_02:0004,critical_energy_ratio,26,0.4934221196633119,0.0256821365825295,0.47181814908981323,0.47228826582431793,0.47384461760520935,0.4771507829427719,0.5081354528665543,0.5437020510435104,0.5458542108535767
TEP,train,unit,training:fault_02:0004,safe_capacity,26,0.5065778780442017,0.025682135461127253,0.45414575934410095,0.45629797130823135,0.49186451733112335,0.5228492021560669,0.5261553972959518,0.5277117341756821,0.5281818509101868
TEP,train,unit,training:fault_02:0004,rho,26,0.5065778780442017,0.025682135461127253,0.45414575934410095,0.45629797130823135,0.49186451733112335,0.5228492021560669,0.5261553972959518,0.5277117341756821,0.5281818509101868
TEP,train,unit,training:fault_02:0005,critical_energy_ratio,26,0.4935430380014273,0.025836343920204646,0.47046297788619995,0.4709680676460266,0.4727695658802986,0.4819409102201462,0.5093024522066116,0.5439073741436005,0.5457187294960022
TEP,train,unit,training:fault_02:0005,safe_capacity,26,0.5064569597060864,0.025836341029334586,0.4542812705039978,0.4560926482081413,0.4906975254416466,0.5180590748786926,0.5272304266691208,0.5290319472551346,0.5295370221138
TEP,train,unit,training:fault_02:0005,rho,26,0.5064569597060864,0.025836341029334586,0.4542812705039978,0.4560926482081413,0.4906975254416466,0.5180590748786926,0.5272304266691208,0.5290319472551346,0.5295370221138
TEP,train,unit,training:fault_02:0006,critical_energy_ratio,26,0.49267025062671077,0.02552041010115871,0.47069311141967773,0.4710886627435684,0.4728189930319786,0.47752368450164795,0.5068356394767761,0.5422504544258118,0.5459533333778381
TEP,train,unit,training:fault_02:0006,safe_capacity,26,0.5073297516657755,0.025520409202221473,0.45404666662216187,0.45774955302476883,0.4931643605232239,0.522476315498352,0.5271809846162796,0.5289113372564316,0.5293068885803223
TEP,train,unit,training:fault_02:0006,rho,26,0.5073297516657755,0.025520409202221473,0.45404666662216187,0.45774955302476883,0.4931643605232239,0.522476315498352,0.5271809846162796,0.5289113372564316,0.5293068885803223
TEP,train,unit,training:fault_02:0007,critical_energy_ratio,26,0.4928528001675239,0.025652684594471405,0.4705598056316376,0.4706922844052315,0.4715830236673355,0.4822284132242203,0.5099085420370102,0.5422127097845078,0.5437958240509033
TEP,train,unit,training:fault_02:0007,safe_capacity,26,0.507147205563692,0.02565268861423818,0.4562041461467743,0.45778731256723404,0.4900914579629898,0.5177716016769409,0.5284169763326645,0.5293077379465103,0.52944016456604
TEP,train,unit,training:fault_02:0007,rho,26,0.507147205563692,0.02565268861423818,0.4562041461467743,0.45778731256723404,0.4900914579629898,0.5177716016769409,0.5284169763326645,0.5293077379465103,0.52944016456604
